run,block,modules,high_bit_modules,high_bit_ratio,mean_positive_delta_nll
1p5b_avg3,0,7,2,0.2857142857142857,0.0017621829662504776
1p5b_avg3,1,7,4,0.5714285714285714,0.008458652191464213
1p5b_avg3,2,7,5,0.7142857142857143,0.0062333125629500585
1p5b_avg3,3,7,5,0.7142857142857143,0.0018784096769135189
1p5b_avg3,4,7,3,0.42857142857142855,0.0006473189338736292
1p5b_avg3,5,7,2,0.2857142857142857,0.000687619782081634
1p5b_avg3,6,7,2,0.2857142857142857,0.0007697797368667127
1p5b_avg3,7,7,3,0.42857142857142855,0.0006259530815489229
1p5b_avg3,8,7,2,0.2857142857142857,0.00024163779511830543
1p5b_avg3,9,7,4,0.5714285714285714,0.0010340663740799577
1p5b_avg3,10,7,3,0.42857142857142855,0.0004331018986383534
1p5b_avg3,11,7,5,0.7142857142857143,0.0008632423716167713
1p5b_avg3,12,7,4,0.5714285714285714,0.0006973530332469327
1p5b_avg3,13,7,1,0.14285714285714285,0.0002801324724661341
1p5b_avg3,14,7,1,0.14285714285714285,0.0004477910315145043
1p5b_avg3,15,7,5,0.7142857142857143,0.0006892651049422557
1p5b_avg3,16,7,3,0.42857142857142855,0.00040708308502544554
1p5b_avg3,17,7,2,0.2857142857142857,0.0006092169982755889
1p5b_avg3,18,7,3,0.42857142857142855,0.0003301566868192068
1p5b_avg3,19,7,3,0.42857142857142855,0.0005626103132386286
1p5b_avg3,20,7,5,0.7142857142857143,0.0008464194861804561
1p5b_avg3,21,7,4,0.5714285714285714,0.0009891928061457808
1p5b_avg3,22,7,5,0.7142857142857143,0.0009054287069423873
1p5b_avg3,23,7,4,0.5714285714285714,0.0008309825664305492
1p5b_avg3,24,7,4,0.5714285714285714,0.0007614585220851058
1p5b_avg3,25,7,4,0.5714285714285714,0.0011561287833332656
1p5b_avg3,26,7,5,0.7142857142857143,0.006449211518276535
1p5b_avg3,27,7,4,0.5714285714285714,0.003320853169825063
3b_avg3p5,0,7,5,0.7142857142857143,0.0018734010599912945
3b_avg3p5,1,7,4,0.5714285714285714,0.022323598499108588
3b_avg3p5,2,7,5,0.7142857142857143,0.006911633283542099
3b_avg3p5,3,7,4,0.5714285714285714,0.0015653650165452504
3b_avg3p5,4,7,4,0.5714285714285714,0.0010206068828674728
3b_avg3p5,5,7,3,0.42857142857142855,0.0007902246892618362
3b_avg3p5,6,7,3,0.42857142857142855,0.0008572525215619591
3b_avg3p5,7,7,3,0.42857142857142855,0.0008136172402124815
3b_avg3p5,8,7,3,0.42857142857142855,0.0012715045404222255
3b_avg3p5,9,7,1,0.14285714285714285,0.0005418014060854277
3b_avg3p5,10,7,5,0.7142857142857143,0.000836672054959932
3b_avg3p5,11,7,3,0.42857142857142855,0.000979243071845762
3b_avg3p5,12,7,4,0.5714285714285714,0.0007888933594773892
3b_avg3p5,13,7,3,0.42857142857142855,0.000769741665826551
3b_avg3p5,14,7,3,0.42857142857142855,0.0006368316023320933
3b_avg3p5,15,7,3,0.42857142857142855,0.0008019763995488839
3b_avg3p5,16,7,3,0.42857142857142855,0.00034872743222834145
3b_avg3p5,17,7,1,0.14285714285714285,0.0005398764504311236
3b_avg3p5,18,7,2,0.2857142857142857,0.0004989129886898702
3b_avg3p5,19,7,3,0.42857142857142855,0.00042876456640326765
3b_avg3p5,20,7,3,0.42857142857142855,0.0006288153875239542
3b_avg3p5,21,7,0,0.0,0.00026715209590135104
3b_avg3p5,22,7,2,0.2857142857142857,0.0006129484181216505
3b_avg3p5,23,7,3,0.42857142857142855,0.0006200361707807213
3b_avg3p5,24,7,2,0.2857142857142857,0.0003971429614928468
3b_avg3p5,25,7,3,0.42857142857142855,0.0010650502318279337
3b_avg3p5,26,7,4,0.5714285714285714,0.0006652206458522666
3b_avg3p5,27,7,5,0.7142857142857143,0.0008868354251186769
