dataset,target_name,fp16,uniform_int4,target,category,best_random,best_random_name,random_mean,random_max,random_count,target_improvement_vs_uniform,target_margin_vs_best_random,target_margin_vs_random_mean
qwen3_0p6b_wikitext2_64,cpp_loss_sensitive_budget,31.180806,49.789549,39.005312,42.191664,41.905894,random_seed_20260609,44.059606,46.399179,16,10.784237,2.900583,5.054294
qwen3_0p6b_c4_64,cpp_loss_sensitive_budget,36.138003,52.935160,45.062307,47.718245,47.166644,cpp_random_budget,48.534563,50.026808,16,7.872852,2.104337,3.472255
qwen3_1p7b_wikitext2_64,wikitext_c4_consensus,21.655224,31.188522,26.325957,27.483801,27.668480,random_budget_seed_20260619,28.290525,29.968161,16,4.862565,1.342523,1.964568
qwen3_1p7b_wikitext2_128,wikitext_c4_consensus,20.293116,28.212482,24.206481,25.303980,25.187569,random_budget_seed_20260619,26.082716,28.164518,16,4.006001,0.981088,1.876236
qwen3_1p7b_c4_64,wikitext_c4_consensus,25.550963,30.740999,28.330317,29.275997,28.456214,random_budget_seed_20260612,29.435654,30.040802,16,2.410682,0.125897,1.105338
olmo2_0425_1b_wikitext2_64_consensus,wikitext_c4_consensus,18.857286,22.488793,21.034884,,21.463670,random_seed_20260610,21.676459,22.151195,16,1.453910,0.428787,0.641575
olmo2_0425_1b_c4_64_consensus,wikitext_c4_consensus,32.273629,36.833415,35.472635,,35.584622,random_seed_20260619,36.038200,36.519148,16,1.360779,0.111987,0.565564
smollm2_1p7b_wikitext2_16_full,loss_sensitive_full,12.690328,18.143082,13.986604,,14.733984,random_budget_seed_20260604,17.585813,19.998323,16,4.156478,0.747380,3.599209
smollm2_1p7b_wikitext2_64_full,loss_sensitive_full,12.656824,18.516355,14.887731,,15.665395,random_budget_seed_20260604,18.111352,20.526671,16,3.628623,0.777664,3.223621
smollm2_1p7b_wikitext2_128_full,loss_sensitive_full,13.217144,18.796586,15.364061,,16.204966,random_budget_seed_20260604,18.516794,21.270201,16,3.432526,0.840906,3.152733
smollm2_1p7b_c4_64_full,loss_sensitive_full,18.449740,26.347506,21.426924,,22.552917,random_budget_seed_20260604,26.110234,29.779082,16,4.920582,1.125993,4.683310
