dataset,name,ppl,delta_nll_vs_fp16,role,target_margin_vs_best_random,random_mean
olmo2-c4-64,fp16,32.273629,0.000000,candidate,,36.033429
olmo2-c4-64,uniform_int4,36.833415,0.132155,candidate,,36.033429
olmo2-c4-64,cpp_category_budget,36.049332,0.110638,candidate,,36.033429
olmo2-c4-64,blend_sensitivity_85,35.881729,0.105978,candidate,,36.033429
olmo2-c4-64,cpp_loss_sensitive_budget,35.842812,0.104893,target,-0.008354,36.033429
olmo2-c4-64,cpp_random_budget,35.851166,0.105126,random,,36.033429
olmo2-c4-64,random_seed_20260606,36.383675,0.119870,random,,36.033429
olmo2-c4-64,random_seed_20260607,36.036349,0.110278,random,,36.033429
olmo2-c4-64,random_seed_20260608,36.256570,0.116370,random,,36.033429
olmo2-c4-64,random_seed_20260609,35.866044,0.105541,random,,36.033429
olmo2-c4-64,random_seed_20260610,35.888154,0.106157,random,,36.033429
olmo2-c4-64,random_seed_20260611,35.942186,0.107661,random,,36.033429
olmo2-c4-64,random_seed_20260612,36.043285,0.110470,random,,36.033429
