dataset,name,ppl,delta_nll_vs_fp16,role,target_margin_vs_best_random,random_mean
olmo2-wikitext2-64,fp16,18.857286,0.000000,candidate,,21.614001
olmo2-wikitext2-64,uniform_int4,22.488793,0.176118,candidate,,21.614001
olmo2-wikitext2-64,cpp_category_budget,21.628094,0.137094,candidate,,21.614001
olmo2-wikitext2-64,blend_sensitivity_85,21.133089,0.113941,candidate,,21.614001
olmo2-wikitext2-64,cpp_loss_sensitive_budget,21.119149,0.113281,target,-0.344521,21.614001
olmo2-wikitext2-64,cpp_random_budget,21.636675,0.137490,random,,21.614001
olmo2-wikitext2-64,random_seed_20260606,21.755038,0.142946,random,,21.614001
olmo2-wikitext2-64,random_seed_20260607,21.641875,0.137731,random,,21.614001
olmo2-wikitext2-64,random_seed_20260608,21.740319,0.142269,random,,21.614001
olmo2-wikitext2-64,random_seed_20260609,21.512657,0.131742,random,,21.614001
olmo2-wikitext2-64,random_seed_20260610,21.463670,0.129462,random,,21.614001
olmo2-wikitext2-64,random_seed_20260611,21.570058,0.134407,random,,21.614001
olmo2-wikitext2-64,random_seed_20260612,21.591715,0.135410,random,,21.614001
