dataset,model,prompt_count,max_length,dtype,config,mode,ppl,mean_nll,delta_nll_vs_fp16,ppl_ratio_vs_fp16,tokens,bit_hist,allocation,method
WikiText2-128,Qwen/Qwen2.5-0.5B-Instruct,128,160,float16,fp16,fp16,17.42937240329266,2.858156852187899,0.0,1.0,16431,"{""16"": 169}",,
WikiText2-128,Qwen/Qwen2.5-0.5B-Instruct,128,160,float16,uniform_int4,uniform_int4,27.74110016388246,3.322915073937402,0.464758221749503,1.5916293210099617,16431,"{""4"": 169}",,
WikiText2-128,Qwen/Qwen2.5-0.5B-Instruct,128,160,float16,uniform_int3,uniform_int3,514.0862225041251,6.242390999449532,3.3842341472616333,29.495394934989555,16431,"{""3"": 169}",,
WikiText2-128,Qwen/Qwen2.5-0.5B-Instruct,128,160,float16,loss_sensitive_4to8_2p,allocation,22.460500955515386,3.111758253403295,0.25360140121539576,1.2886580443523183,16431,"{""4"": 114, ""8"": 55}",outputs/qwen25_0p5b_loss_sensitive_alloc_4to8_limit2_group128_summary.json,loss_sensitive_4to8
WikiText2-128,Qwen/Qwen2.5-0.5B-Instruct,128,160,float16,loss_sensitive_4to8_8p,allocation,21.976234496165553,3.0899616192932666,0.23180476710536757,1.2608735408059744,16431,"{""4"": 112, ""8"": 57}",outputs/qwen25_0p5b_loss_sensitive_alloc_4to8_limit8_group128_summary.json,loss_sensitive_4to8
WikiText2-128,Qwen/Qwen2.5-0.5B-Instruct,128,160,float16,loss_sensitive_consensus_4to8,allocation,22.084783163661672,3.0948888267372916,0.23673197454939254,1.2671014568194974,16431,"{""4"": 109, ""8"": 60}",outputs/qwen25_0p5b_loss_sensitive_consensus_alloc_4to8_group128_summary.json,loss_sensitive_consensus_4to8
C4-64,Qwen/Qwen2.5-0.5B-Instruct,64,160,float16,fp16,fp16,23.95392921525763,3.17613236949288,0.0,1.0,8767,"{""16"": 169}",,
C4-64,Qwen/Qwen2.5-0.5B-Instruct,64,160,float16,uniform_int4,uniform_int4,36.51280696017555,3.5976630746672384,0.42153070517435864,1.5242930139794542,8767,"{""4"": 169}",,
C4-64,Qwen/Qwen2.5-0.5B-Instruct,64,160,float16,uniform_int3,uniform_int3,779.2680257273137,6.658355050529166,3.482222681036286,32.531949924564074,8767,"{""3"": 169}",,
C4-64,Qwen/Qwen2.5-0.5B-Instruct,64,160,float16,loss_sensitive_4to8_2p,allocation,31.215096737511754,3.4409018475802413,0.2647694780873615,1.3031305410065697,8767,"{""4"": 114, ""8"": 55}",outputs/qwen25_0p5b_loss_sensitive_alloc_4to8_limit2_group128_summary.json,loss_sensitive_4to8
C4-64,Qwen/Qwen2.5-0.5B-Instruct,64,160,float16,loss_sensitive_4to8_8p,allocation,30.79699893810554,3.427417248157733,0.2512848786648534,1.2856762939121138,8767,"{""4"": 112, ""8"": 57}",outputs/qwen25_0p5b_loss_sensitive_alloc_4to8_limit8_group128_summary.json,loss_sensitive_4to8
C4-64,Qwen/Qwen2.5-0.5B-Instruct,64,160,float16,loss_sensitive_consensus_4to8,allocation,30.80169840000208,3.427569831316428,0.251437461823548,1.2858724814291724,8767,"{""4"": 109, ""8"": 60}",outputs/qwen25_0p5b_loss_sensitive_consensus_alloc_4to8_group128_summary.json,loss_sensitive_consensus_4to8
