dataset,model,prompt_count,max_length,dtype,config,mode,ppl,mean_nll,delta_nll_vs_fp16,ppl_ratio_vs_fp16,tokens,bit_hist,allocation,method
WikiText2-64,/mnt/c/Users/18042/models/Qwen2.5-1.5B-Instruct,64,128,float16,fp16,fp16,12.851567851846085,2.5534658157152084,0.0,1.0,7152,"{""16"": 197}",,
WikiText2-64,/mnt/c/Users/18042/models/Qwen2.5-1.5B-Instruct,64,128,float16,uniform_int4,uniform_int4,17.244062905733323,2.8474679048562743,0.29400208914106596,1.3417867068457543,7152,"{""4"": 197}",,
WikiText2-64,/mnt/c/Users/18042/models/Qwen2.5-1.5B-Instruct,64,128,float16,uniform_int3,uniform_int3,273.94544429439,5.612928978148723,3.0594631624335147,21.316110800834206,7152,"{""3"": 197}",,
WikiText2-64,/mnt/c/Users/18042/models/Qwen2.5-1.5B-Instruct,64,128,float16,loss_sensitive_4to8_2p,allocation,16.178771428122417,2.7836999772345727,0.23023416151936438,1.2588947601283054,7152,"{""4"": 137, ""8"": 60}",outputs/qwen25_1p5b_loss_sensitive_alloc_4to8_limit2_group128_summary.json,loss_sensitive_4to8
WikiText2-64,/mnt/c/Users/18042/models/Qwen2.5-1.5B-Instruct,64,128,float16,loss_sensitive_4to8_8p,allocation,15.751954213882968,2.7569644346466533,0.20349861893144494,1.2256834648871462,7152,"{""4"": 136, ""8"": 61}",outputs/qwen25_1p5b_loss_sensitive_alloc_4to8_limit8_group128_summary.json,loss_sensitive_4to8
WikiText2-64,/mnt/c/Users/18042/models/Qwen2.5-1.5B-Instruct,64,128,float16,loss_sensitive_consensus_4to8,allocation,15.7965669535782,2.7597926350047923,0.20632681928958396,1.229154849873751,7152,"{""4"": 132, ""8"": 65}",outputs/qwen25_1p5b_loss_sensitive_consensus_alloc_4to8_group128_summary.json,loss_sensitive_consensus_4to8
C4-64,/mnt/c/Users/18042/models/Qwen2.5-1.5B-Instruct,64,128,float16,fp16,fp16,18.16692490846947,2.8996026280451628,0.0,1.0,7375,"{""16"": 197}",,
C4-64,/mnt/c/Users/18042/models/Qwen2.5-1.5B-Instruct,64,128,float16,uniform_int4,uniform_int4,23.994913085062514,3.177841853093293,0.27823922504813003,1.3208021283709948,7375,"{""4"": 197}",,
C4-64,/mnt/c/Users/18042/models/Qwen2.5-1.5B-Instruct,64,128,float16,uniform_int3,uniform_int3,293.82006713579204,5.682967563435183,2.78336493539002,16.173351770657252,7375,"{""3"": 197}",,
C4-64,/mnt/c/Users/18042/models/Qwen2.5-1.5B-Instruct,64,128,float16,loss_sensitive_4to8_2p,allocation,23.268185264232738,3.1470869882066372,0.24748436016147446,1.2807993307323602,7375,"{""4"": 137, ""8"": 60}",outputs/qwen25_1p5b_loss_sensitive_alloc_4to8_limit2_group128_summary.json,loss_sensitive_4to8
C4-64,/mnt/c/Users/18042/models/Qwen2.5-1.5B-Instruct,64,128,float16,loss_sensitive_4to8_8p,allocation,22.362024933752167,3.107364204730018,0.20776157668485506,1.230919654615126,7375,"{""4"": 136, ""8"": 61}",outputs/qwen25_1p5b_loss_sensitive_alloc_4to8_limit8_group128_summary.json,loss_sensitive_4to8
C4-64,/mnt/c/Users/18042/models/Qwen2.5-1.5B-Instruct,64,128,float16,loss_sensitive_consensus_4to8,allocation,22.48909709944985,3.113030618408979,0.2134279903638161,1.2379143532962682,7375,"{""4"": 132, ""8"": 65}",outputs/qwen25_1p5b_loss_sensitive_consensus_alloc_4to8_group128_summary.json,loss_sensitive_consensus_4to8
