dataset,name,ppl,delta_nll_vs_fp16,role,target_margin_vs_best_random,random_mean
Qwen3-1.7B-C4-64,fp16,25.550963,0.000000,candidate,,29.435654
Qwen3-1.7B-C4-64,uniform_int4,30.740999,0.184922,candidate,,29.435654
Qwen3-1.7B-C4-64,cpp_loss_sensitive_budget,29.202951,0.133595,target,0.746737,29.435654
Qwen3-1.7B-C4-64,cpp_category_budget,29.275997,0.136093,candidate,,29.435654
Qwen3-1.7B-C4-64,random_budget_seed_20260604,29.830228,0.154847,random,,29.435654
Qwen3-1.7B-C4-64,random_budget_seed_20260605,29.872265,0.156255,random,,29.435654
Qwen3-1.7B-C4-64,random_budget_seed_20260606,28.501638,0.109287,random,,29.435654
Qwen3-1.7B-C4-64,random_budget_seed_20260607,29.893537,0.156967,random,,29.435654
Qwen3-1.7B-C4-64,random_budget_seed_20260608,29.136572,0.131319,random,,29.435654
Qwen3-1.7B-C4-64,random_budget_seed_20260609,29.613902,0.147569,random,,29.435654
Qwen3-1.7B-C4-64,random_budget_seed_20260610,29.033513,0.127776,random,,29.435654
Qwen3-1.7B-C4-64,random_budget_seed_20260611,29.573619,0.146208,random,,29.435654
Qwen3-1.7B-C4-64,random_budget_seed_20260612,28.456214,0.107692,random,,29.435654
Qwen3-1.7B-C4-64,random_budget_seed_20260613,29.781757,0.153221,random,,29.435654
Qwen3-1.7B-C4-64,random_budget_seed_20260614,29.860134,0.155849,random,,29.435654
Qwen3-1.7B-C4-64,random_budget_seed_20260615,29.620358,0.147787,random,,29.435654
Qwen3-1.7B-C4-64,random_budget_seed_20260616,30.040802,0.161882,random,,29.435654
Qwen3-1.7B-C4-64,random_budget_seed_20260617,29.463830,0.142488,random,,29.435654
Qwen3-1.7B-C4-64,random_budget_seed_20260618,29.324700,0.137755,random,,29.435654
Qwen3-1.7B-C4-64,random_budget_seed_20260619,28.967399,0.125496,random,,29.435654
