dataset,name,ppl,delta_nll_vs_fp16,role,target_margin_vs_best_random,random_mean
Qwen3-1.7B-WikiText2-64,fp16,21.655224,0.000000,candidate,,28.290525
Qwen3-1.7B-WikiText2-64,uniform_int4,31.188522,0.364803,candidate,,28.290525
Qwen3-1.7B-WikiText2-64,cpp_loss_sensitive_budget,27.657818,0.244662,target,-0.010662,28.290525
Qwen3-1.7B-WikiText2-64,cpp_category_budget,27.483801,0.238350,candidate,,28.290525
Qwen3-1.7B-WikiText2-64,random_budget_seed_20260604,28.379862,0.270433,random,,28.290525
Qwen3-1.7B-WikiText2-64,random_budget_seed_20260605,29.357550,0.304303,random,,28.290525
Qwen3-1.7B-WikiText2-64,random_budget_seed_20260606,27.679964,0.245462,random,,28.290525
Qwen3-1.7B-WikiText2-64,random_budget_seed_20260607,29.968161,0.324889,random,,28.290525
Qwen3-1.7B-WikiText2-64,random_budget_seed_20260608,27.992888,0.256704,random,,28.290525
Qwen3-1.7B-WikiText2-64,random_budget_seed_20260609,27.729734,0.247259,random,,28.290525
Qwen3-1.7B-WikiText2-64,random_budget_seed_20260610,28.127883,0.261515,random,,28.290525
Qwen3-1.7B-WikiText2-64,random_budget_seed_20260611,27.865190,0.252132,random,,28.290525
Qwen3-1.7B-WikiText2-64,random_budget_seed_20260612,28.156335,0.262526,random,,28.290525
Qwen3-1.7B-WikiText2-64,random_budget_seed_20260613,28.836513,0.286396,random,,28.290525
Qwen3-1.7B-WikiText2-64,random_budget_seed_20260614,28.137166,0.261845,random,,28.290525
Qwen3-1.7B-WikiText2-64,random_budget_seed_20260615,28.149804,0.262294,random,,28.290525
Qwen3-1.7B-WikiText2-64,random_budget_seed_20260616,28.579332,0.277437,random,,28.290525
Qwen3-1.7B-WikiText2-64,random_budget_seed_20260617,28.250761,0.265874,random,,28.290525
Qwen3-1.7B-WikiText2-64,random_budget_seed_20260618,27.768769,0.248665,random,,28.290525
Qwen3-1.7B-WikiText2-64,random_budget_seed_20260619,27.668480,0.245047,random,,28.290525
