batch,block_k,block_m,block_n,cols,dense_full_concat_ms,dense_selected_concat_ms,high_rows_total,latency_ms,layer,low_rows_total,model,module_count,modules,ok,rel_l2_vs_dense_selected_concat,rel_l2_vs_triton_separate,runtime,selected_rows_per_module,selected_rows_total,speedup_vs_dense_full_concat,speedup_vs_dense_selected_concat,speedup_vs_triton_separate,suffixes,triton_separate_selected_ms
1,128,32,16,1024,0.01837733749994186,0.012496650000137777,16,0.01837733749994186,0,32,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.0,,dense_full_concat,16,48,1.0,0.6800032921078645,19.231873904537945,"['q_proj', 'k_proj', 'v_proj']",0.35343063750001846
1,128,32,16,1024,0.01837733749994186,0.012496650000137777,16,0.012496650000137777,0,32,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.0,,dense_selected_concat,16,48,1.4705811157181523,1.0,28.28203058388623,"['q_proj', 'k_proj', 'v_proj']",0.35343063750001846
1,128,32,16,1024,0.01837733749994186,0.012496650000137777,16,0.013506450000022596,0,32,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.09180185198783875,,cached_selected_concat,16,48,1.3606341784785132,0.9252357207198686,26.167544950703345,"['q_proj', 'k_proj', 'v_proj']",0.35343063750001846
1,128,32,16,1024,0.01837733749994186,0.012496650000137777,16,0.35343063750001846,0,32,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.09180185198783875,,triton_separate_selected,16,48,0.05199701313370406,0.03535814011069463,1.0,"['q_proj', 'k_proj', 'v_proj']",0.35343063750001846
1,128,32,16,1024,0.01837733749994186,0.012496650000137777,16,0.07433204999998111,0,32,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.09180185198783875,0.0,triton_fused_selected,16,48,0.24723302397749733,0.16811927022248077,4.754754342172835,"['q_proj', 'k_proj', 'v_proj']",0.35343063750001846
1,128,32,16,1024,0.01837733749994186,0.02581875000000622,64,0.01837733749994186,0,128,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.0,,dense_full_concat,64,192,1.0,1.4049233192832151,7.535782863022296,"['q_proj', 'k_proj', 'v_proj']",0.13848762500003886
1,128,32,16,1024,0.01837733749994186,0.02581875000000622,64,0.02581875000000622,0,128,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.0,,dense_selected_concat,64,192,0.7117826192181044,1.0,5.363839264100915,"['q_proj', 'k_proj', 'v_proj']",0.13848762500003886
1,128,32,16,1024,0.01837733749994186,0.02581875000000622,64,0.02590580000010334,0,128,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.17113398015499115,,cached_selected_concat,64,192,0.7093908506924531,0.9966397486239847,5.345815415832996,"['q_proj', 'k_proj', 'v_proj']",0.13848762500003886
1,128,32,16,1024,0.01837733749994186,0.02581875000000622,64,0.13848762500003886,0,128,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.17113398015499115,,triton_separate_selected,64,192,0.13270021418835584,0.18643362538709848,1.0,"['q_proj', 'k_proj', 'v_proj']",0.13848762500003886
1,128,32,16,1024,0.01837733749994186,0.02581875000000622,64,0.0740029375000617,0,128,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.17113398015499115,0.0,triton_fused_selected,64,192,0.2483325408525376,0.3488881775805817,1.871380105687337,"['q_proj', 'k_proj', 'v_proj']",0.13848762500003886
