batch,block_k,block_m,block_n,cols,dense_full_concat_ms,dense_selected_concat_ms,high_rows_total,latency_ms,layer,low_rows_total,model,module_count,modules,ok,rel_l2_vs_dense_selected_concat,rel_l2_vs_triton_separate,runtime,selected_rows_per_module,selected_rows_total,speedup_vs_dense_full_concat,speedup_vs_dense_selected_concat,speedup_vs_triton_separate,suffixes,triton_separate_selected_ms
1,64,32,16,1024,0.043456337500202835,0.01238845000059996,16,0.043456337500202835,0,32,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.0,,dense_full_concat,16,48,1.0,0.2850780970794452,5.059646651052729,"['q_proj', 'k_proj', 'v_proj']",0.21987371249991838
1,64,32,16,1024,0.043456337500202835,0.01238845000059996,16,0.01238845000059996,0,32,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.0,,dense_selected_concat,16,48,3.507810702557486,1.0,17.748282673721903,"['q_proj', 'k_proj', 'v_proj']",0.21987371249991838
1,64,32,16,1024,0.043456337500202835,0.01238845000059996,16,0.06981996250061684,0,32,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.09180185198783875,,cached_selected_concat,16,48,0.6224056264684891,0.17743421160517683,3.149152543557666,"['q_proj', 'k_proj', 'v_proj']",0.21987371249991838
1,64,32,16,1024,0.043456337500202835,0.01238845000059996,16,0.21987371249991838,0,32,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.09180185198783875,,triton_separate_selected,16,48,0.19764226021434447,0.05634347944438587,1.0,"['q_proj', 'k_proj', 'v_proj']",0.21987371249991838
1,64,32,16,1024,0.043456337500202835,0.01238845000059996,16,0.18727607499968713,0,32,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.09180185198783875,0.0,triton_fused_selected,16,48,0.2320442560550003,0.06615073495437501,1.1740619430447041,"['q_proj', 'k_proj', 'v_proj']",0.21987371249991838
1,64,32,16,1024,0.043456337500202835,0.06089873749957064,64,0.043456337500202835,0,128,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.0,,dense_full_concat,64,192,1.0,1.401377589615931,11.722418507945942,"['q_proj', 'k_proj', 'v_proj']",0.509413374999923
1,64,32,16,1024,0.043456337500202835,0.06089873749957064,64,0.06089873749957064,0,128,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.0,,dense_selected_concat,64,192,0.7135835533619924,1.0,8.364925052896451,"['q_proj', 'k_proj', 'v_proj']",0.509413374999923
1,64,32,16,1024,0.043456337500202835,0.06089873749957064,64,0.04362651250033878,0,128,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.17113398015499115,,cached_selected_concat,64,192,0.996099275638074,1.395911201911859,11.676692584491304,"['q_proj', 'k_proj', 'v_proj']",0.509413374999923
1,64,32,16,1024,0.043456337500202835,0.06089873749957064,64,0.509413374999923,0,128,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.17113398015499115,,triton_separate_selected,64,192,0.08530662843355732,0.11954679733248041,1.0,"['q_proj', 'k_proj', 'v_proj']",0.509413374999923
1,64,32,16,1024,0.043456337500202835,0.06089873749957064,64,0.08147639999975809,0,128,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.17113398015499115,0.0,triton_fused_selected,64,192,0.5333610407471594,0.7474402096772987,6.252281335471812,"['q_proj', 'k_proj', 'v_proj']",0.509413374999923
1,64,32,16,1024,0.043456337500202835,0.013426412500194829,256,0.043456337500202835,0,512,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.0,,dense_full_concat,256,768,1.0,0.30896327837411885,3.425011081495914,"['q_proj', 'k_proj', 'v_proj']",0.14883843749942116
1,64,32,16,1024,0.043456337500202835,0.013426412500194829,256,0.013426412500194829,0,512,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.0,,dense_selected_concat,256,768,3.2366305965627262,1.0,11.085495659936068,"['q_proj', 'k_proj', 'v_proj']",0.14883843749942116
1,64,32,16,1024,0.043456337500202835,0.013426412500194829,256,0.011420112500104551,0,512,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.12311789393424988,,cached_selected_concat,256,768,3.8052460078484334,1.17568128160488,13.033009744698973,"['q_proj', 'k_proj', 'v_proj']",0.14883843749942116
1,64,32,16,1024,0.043456337500202835,0.013426412500194829,256,0.14883843749942116,0,512,Qwen/Qwen3-0.6B,3,"['model.layers.0.self_attn.q_proj', 'model.layers.0.self_attn.k_proj', 'model.layers.0.self_attn.v_proj']",True,0.12311893701553345,,triton_separate_selected,256,768,0.29196985825903904,0.0902079645941395,1.0,"['q_proj', 'k_proj', 'v_proj']",0.14883843749942116
