batch,bits,block_k,block_m,block_n,cols,latency_ms,model,module,ok,rel_l2_vs_dense,rows,runtime,speedup_vs_dense
1,4,,,,1024,0.013589737499941634,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.0,2048,dense,1.0
1,4,,,,1024,0.015441249999881279,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.1672458052635193,2048,cached,0.8800930947977734
1,4,,,,1024,32.12287898749988,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.1672458052635193,2048,python_on_demand,0.00042305477990406366
1,4,128,32,16,1024,0.04847673750010273,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.1672460436820984,2048,triton_grouped,0.2803352329540088
12,4,,,,1024,0.018125612499986232,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.0,2048,dense,1.0
12,4,,,,1024,0.016812237500118954,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.1673765331506729,2048,cached,1.0781201788196237
12,4,,,,1024,33.257987325000116,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.1673765331506729,2048,python_on_demand,0.0005450002828752407
12,4,128,32,16,1024,0.04948013749999092,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.16737686097621918,2048,triton_grouped,0.36632098081759695
64,4,,,,1024,0.014666150000053335,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.0,2048,dense,1.0
64,4,,,,1024,0.018782737500089297,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.16872642934322357,2048,cached,0.7808313351546126
64,4,,,,1024,31.799398737500088,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.16872642934322357,2048,python_on_demand,0.0004612084058922152
64,4,128,32,16,1024,0.057562774999908584,Qwen/Qwen3-0.6B,model.layers.0.self_attn.q_proj,True,0.16872638463974,2048,triton_grouped,0.25478531915941555
1,4,,,,1024,0.013835200000045234,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.0,1024,dense,1.0
1,4,,,,1024,0.014225450000004969,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.14408156275749207,1024,cached,0.972566772934452
1,4,,,,1024,18.180513612499993,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.14408156275749207,1024,python_on_demand,0.0007609906020769874
1,4,128,32,16,1024,0.051870687500077395,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.14408157765865326,1024,triton_grouped,0.2667248241123581
12,4,,,,1024,0.01558778749988221,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.0,1024,dense,1.0
12,4,,,,1024,0.015248012500101993,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.1559198796749115,1024,cached,1.0222832319804267
12,4,,,,1024,18.072526712500014,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.1559198796749115,1024,python_on_demand,0.000862512904136464
12,4,128,32,16,1024,0.05941155000002141,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.1559198796749115,1024,triton_grouped,0.26236964866051454
64,4,,,,1024,0.017603612499783594,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.0,1024,dense,1.0
64,4,,,,1024,0.02341655000002163,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.15010255575180054,1024,cached,0.7517594393609364
64,4,,,,1024,17.919978937500147,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.15010255575180054,1024,python_on_demand,0.0009823456021449605
64,4,128,32,16,1024,0.044619524999944815,Qwen/Qwen3-0.6B,model.layers.0.self_attn.k_proj,True,0.15010258555412292,1024,triton_grouped,0.39452711564736215
1,8,,,,1024,0.013905449999995767,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.0,1024,dense,1.0
1,8,,,,1024,0.01460453750006252,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.008624202571809292,1024,cached,0.9521321712472058
1,8,,,,1024,4.439187275000123,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.008624202571809292,1024,python_on_demand,0.003132431487697347
1,8,128,32,16,1024,0.06298108750009135,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.008624324575066566,1024,triton_grouped,0.22078770869073353
12,8,,,,1024,0.02218908750002413,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.0,1024,dense,1.0
12,8,,,,1024,0.025813750000125424,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.008317360654473305,1024,cached,0.8595840395105832
12,8,,,,1024,4.521814737500307,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.008317360654473305,1024,python_on_demand,0.004907119992335294
12,8,128,32,16,1024,0.0461877500001151,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.008317310363054276,1024,triton_grouped,0.4804106608347199
64,8,,,,1024,0.01472451249995288,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.0,1024,dense,1.0
64,8,,,,1024,0.016796574999844438,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.008405469357967377,1024,cached,0.8766377966989849
64,8,,,,1024,4.1866182124998375,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.008405469357967377,1024,python_on_demand,0.0035170420976028873
64,8,128,32,16,1024,0.06596062500001665,Qwen/Qwen3-0.6B,model.layers.0.self_attn.v_proj,True,0.008405473083257675,1024,triton_grouped,0.2232318523353768
