layer,layer_bucket,module,family,kind,rows,cols,avg_bits,compression_ratio_vs_fp32,full_mixed_gemv_ms,active_rows,selected_mixed_gemv_ms,selected_speedup_vs_full,file_bytes,fp32_equivalent_bytes,returncode
0,early,self_attn__q_proj,attention,q_proj,2048,1024,4.0,7.641346,6.345939,64,0.191484,33.140831609951746,1097792,8388608,0
0,early,self_attn__k_proj,attention,k_proj,1024,1024,4.0,7.6409,3.348588,64,0.204549,16.370590909757563,548928,4194304,0
0,early,self_attn__v_proj,attention,v_proj,1024,1024,8.0,3.908164,5.246381,64,0.287325,18.259396154180806,1073216,4194304,0
0,early,self_attn__o_proj,attention,o_proj,1024,2048,4.0,7.816328,6.301995,64,0.383965,16.412941283710754,1073216,8388608,0
0,early,mlp__gate_proj,mlp,gate_proj,3072,1024,4.0,7.641494,9.659936,64,0.253502,38.1059557715521,1646656,12582912,0
0,early,mlp__up_proj,mlp,up_proj,3072,1024,4.0,7.641494,11.933423,64,0.211253,56.488774123917764,1646656,12582912,0
0,early,mlp__down_proj,mlp,down_proj,1024,3072,8.0,3.968912,15.263948,64,1.19617,12.760684518086894,3170368,12582912,0
1,early,self_attn__q_proj,attention,q_proj,2048,1024,4.0,7.641346,6.368224,64,0.285431,22.310905262567836,1097792,8388608,0
1,early,self_attn__k_proj,attention,k_proj,1024,1024,4.0,7.6409,3.211754,64,0.192008,16.72718845048123,548928,4194304,0
1,early,self_attn__v_proj,attention,v_proj,1024,1024,4.0,7.6409,3.10147,64,0.195687,15.849136631457378,548928,4194304,0
1,early,self_attn__o_proj,attention,o_proj,1024,2048,4.0,7.816328,6.367385,64,0.4101,15.526420385271884,1073216,8388608,0
1,early,mlp__gate_proj,mlp,gate_proj,3072,1024,8.0,3.908319,14.69184,64,0.2852,51.51416549789621,3219520,12582912,0
1,early,mlp__up_proj,mlp,up_proj,3072,1024,4.0,7.641494,9.459231,64,0.183404,51.57592527971037,1646656,12582912,0
1,early,mlp__down_proj,mlp,down_proj,1024,3072,8.0,3.968912,14.555488,64,0.866886,16.790544546803154,3170368,12582912,0
7,middle,self_attn__q_proj,attention,q_proj,2048,1024,4.0,7.641346,6.271509,64,0.191207,32.79957846731553,1097792,8388608,0
7,middle,self_attn__k_proj,attention,k_proj,1024,1024,4.0,7.6409,2.964388,64,0.185854,15.950089855477957,548928,4194304,0
7,middle,self_attn__v_proj,attention,v_proj,1024,1024,4.0,7.6409,3.125986,64,0.188232,16.607091249096857,548928,4194304,0
7,middle,self_attn__o_proj,attention,o_proj,1024,2048,4.0,7.816328,6.474892,64,0.413531,15.657573434639724,1073216,8388608,0
7,middle,mlp__gate_proj,mlp,gate_proj,3072,1024,4.0,7.641494,9.204201,64,0.187968,48.96685074055158,1646656,12582912,0
7,middle,mlp__up_proj,mlp,up_proj,3072,1024,4.0,7.641494,9.330151,64,0.189434,49.25277933211568,1646656,12582912,0
7,middle,mlp__down_proj,mlp,down_proj,1024,3072,4.0,7.876608,9.257837,64,0.578522,16.002566885961123,1597504,12582912,0
