label,train_path,heldout_path,train_prompts,heldout_prompts,train_exact,heldout_exact,train_exact_rate,heldout_exact_rate,transfer_gap,min_exact_rate,harmonic_exact_rate,train_mean_prefix,heldout_mean_prefix,prefix_gap,train_speedup,heldout_speedup,train_failures,heldout_failures,risk
baseline_layers17,/mnt/c/Users/18042/Documents/Codex/2026-06-01/chatgpt-context-request-algorithm-system-co/github_publish/eigenskill-research-pack/outputs/real_system_packer_2026-06-05/fused_qkv_prompt_suite_layers17_qkv8_repack.json,/mnt/c/Users/18042/Documents/Codex/2026-06-01/chatgpt-context-request-algorithm-system-co/github_publish/eigenskill-research-pack/outputs/real_system_packer_2026-06-05/layer20_v_rowguard_heldout_v1/baseline_layers17.json,6,12,6,11,1.0,0.9166666666666666,0.08333333333333337,0.9166666666666666,0.9565217391304348,1.0,0.9171686746987951,0.08283132530120485,0.8957425153686066,0.8316332412310589,[],[4],small_gap
full_v8,/mnt/c/Users/18042/Documents/Codex/2026-06-01/chatgpt-context-request-algorithm-system-co/github_publish/eigenskill-research-pack/outputs/real_system_packer_2026-06-05/fused_qkv_prompt_suite_layers1_7_20_qkv8_repack.json,/mnt/c/Users/18042/Documents/Codex/2026-06-01/chatgpt-context-request-algorithm-system-co/github_publish/eigenskill-research-pack/outputs/real_system_packer_2026-06-05/layer20_v_rowguard_heldout_v1/full_v8.json,6,12,5,11,0.8333333333333334,0.9166666666666666,-0.08333333333333326,0.8333333333333334,0.8730158730158729,0.9096385542168675,0.9171686746987951,-0.0075301204819276935,0.8476736397281703,0.9426908802111623,[0],[4],stable_or_improved
g0_1_2_4_5_6,/mnt/c/Users/18042/Documents/Codex/2026-06-01/chatgpt-context-request-algorithm-system-co/github_publish/eigenskill-research-pack/outputs/real_system_packer_2026-06-05/layer20_v_prompt_group_sixgroup_sweep/groups_0_1_2_4_5_6_prompt_suite.json,/mnt/c/Users/18042/Documents/Codex/2026-06-01/chatgpt-context-request-algorithm-system-co/github_publish/eigenskill-research-pack/outputs/real_system_packer_2026-06-05/layer20_v_prompt_group_sixgroup_heldout_sweep/groups_0_1_2_4_5_6_prompt_suite.json,6,12,5,9,0.8333333333333334,0.75,0.08333333333333337,0.75,0.7894736842105262,0.9612159329140462,0.7724872121705199,0.1887287207435263,0.93782742085727,0.9520117893825989,[1],"[4, 7, 8]",small_gap
g0_1_2_4_5_6_7,/mnt/c/Users/18042/Documents/Codex/2026-06-01/chatgpt-context-request-algorithm-system-co/github_publish/eigenskill-research-pack/outputs/real_system_packer_2026-06-05/layer20_v_prompt_group_sevengroup_focus/groups_0_1_2_4_5_6_7_prompt_suite.json,/mnt/c/Users/18042/Documents/Codex/2026-06-01/chatgpt-context-request-algorithm-system-co/github_publish/eigenskill-research-pack/outputs/real_system_packer_2026-06-05/layer20_v_rowguard_heldout_v1/g0_1_2_4_5_6_7.json,6,12,6,9,1.0,0.75,0.25,0.75,0.8571428571428571,1.0,0.7724872121705199,0.22751278782948015,0.931377222183602,0.7947070238737436,[],"[4, 7, 8]",high_overfit
g0_1_2_3_4_5_6,/mnt/c/Users/18042/Documents/Codex/2026-06-01/chatgpt-context-request-algorithm-system-co/github_publish/eigenskill-research-pack/outputs/real_system_packer_2026-06-05/layer20_v_prompt_group_sevengroup_focus/groups_0_1_2_3_4_5_6_prompt_suite.json,/mnt/c/Users/18042/Documents/Codex/2026-06-01/chatgpt-context-request-algorithm-system-co/github_publish/eigenskill-research-pack/outputs/real_system_packer_2026-06-05/layer20_v_rowguard_heldout_v1/g0_1_2_3_4_5_6.json,6,12,4,11,0.6666666666666666,0.9166666666666666,-0.25,0.6666666666666666,0.7719298245614035,0.8456740106236575,0.9171686746987951,-0.0714946640751376,0.7253178874712166,0.854590182038844,"[1, 5]",[4],stable_or_improved
g0_1_4_5_6_7,/mnt/c/Users/18042/Documents/Codex/2026-06-01/chatgpt-context-request-algorithm-system-co/github_publish/eigenskill-research-pack/outputs/real_system_packer_2026-06-05/layer20_v_prompt_group_sixgroup_sweep/groups_0_1_4_5_6_7_prompt_suite.json,/mnt/c/Users/18042/Documents/Codex/2026-06-01/chatgpt-context-request-algorithm-system-co/github_publish/eigenskill-research-pack/outputs/real_system_packer_2026-06-05/layer20_v_prompt_group_sixgroup_heldout_sweep/groups_0_1_4_5_6_7_prompt_suite.json,6,12,4,8,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.7418361972480084,0.7777267544486564,-0.03589055720064793,0.942680893063189,0.9146060448281181,"[0, 3]","[6, 7, 8, 10]",stable_or_improved
g0_1_3_4_5_6,/mnt/c/Users/18042/Documents/Codex/2026-06-01/chatgpt-context-request-algorithm-system-co/github_publish/eigenskill-research-pack/outputs/real_system_packer_2026-06-05/layer20_v_prompt_group_sixgroup_sweep/groups_0_1_3_4_5_6_prompt_suite.json,/mnt/c/Users/18042/Documents/Codex/2026-06-01/chatgpt-context-request-algorithm-system-co/github_publish/eigenskill-research-pack/outputs/real_system_packer_2026-06-05/layer20_v_prompt_group_sixgroup_heldout_sweep/groups_0_1_3_4_5_6_prompt_suite.json,6,12,4,7,0.6666666666666666,0.5833333333333334,0.08333333333333326,0.5833333333333334,0.6222222222222222,0.7418361972480084,0.6948954291474515,0.04694076810055692,0.9482394826102596,0.9597289648583357,"[0, 3]","[4, 6, 7, 8, 10]",small_gap
g0_2_3_4_5_6,/mnt/c/Users/18042/Documents/Codex/2026-06-01/chatgpt-context-request-algorithm-system-co/github_publish/eigenskill-research-pack/outputs/real_system_packer_2026-06-05/layer20_v_prompt_group_sixgroup_sweep/groups_0_2_3_4_5_6_prompt_suite.json,/mnt/c/Users/18042/Documents/Codex/2026-06-01/chatgpt-context-request-algorithm-system-co/github_publish/eigenskill-research-pack/outputs/real_system_packer_2026-06-05/layer20_v_prompt_group_sixgroup_heldout_sweep/groups_0_2_3_4_5_6_prompt_suite.json,6,12,3,11,0.5,0.9166666666666666,-0.41666666666666663,0.5,0.6470588235294118,0.7391166335744772,0.9171686746987951,-0.17805204112431794,1.0271243152701437,0.9720400095677079,"[1, 3, 5]",[4],stable_or_improved
g0_2_4_5_6_7,/mnt/c/Users/18042/Documents/Codex/2026-06-01/chatgpt-context-request-algorithm-system-co/github_publish/eigenskill-research-pack/outputs/real_system_packer_2026-06-05/layer20_v_prompt_group_sixgroup_sweep/groups_0_2_4_5_6_7_prompt_suite.json,/mnt/c/Users/18042/Documents/Codex/2026-06-01/chatgpt-context-request-algorithm-system-co/github_publish/eigenskill-research-pack/outputs/real_system_packer_2026-06-05/layer20_v_prompt_group_sixgroup_heldout_sweep/groups_0_2_4_5_6_7_prompt_suite.json,6,12,3,10,0.5,0.8333333333333334,-0.33333333333333337,0.5,0.625,0.8286057375312881,0.8553185374717247,-0.026712799940436627,0.9616588077152911,0.9793398525473268,"[0, 1, 5]","[7, 8]",stable_or_improved
g0_3_4_5_6_7,/mnt/c/Users/18042/Documents/Codex/2026-06-01/chatgpt-context-request-algorithm-system-co/github_publish/eigenskill-research-pack/outputs/real_system_packer_2026-06-05/layer20_v_prompt_group_sixgroup_sweep/groups_0_3_4_5_6_7_prompt_suite.json,/mnt/c/Users/18042/Documents/Codex/2026-06-01/chatgpt-context-request-algorithm-system-co/github_publish/eigenskill-research-pack/outputs/real_system_packer_2026-06-05/layer20_v_prompt_group_sixgroup_heldout_sweep/groups_0_3_4_5_6_7_prompt_suite.json,6,12,3,9,0.5,0.75,-0.25,0.5,0.6,0.6262942749576199,0.8413468261332442,-0.21505255117562427,0.8844571211551501,0.9777972176683657,"[0, 3, 5]","[6, 7, 8]",stable_or_improved
