shape,batch,high_every,count,valid_count,fp16_wins,rowwise_wins,fp16_speedup_median,fp16_speedup_p90,fp16_speedup_max,rowwise_speedup_median,rowwise_speedup_max,compression_median,rel_l2_median,guard_vram_ratio_max
1024x3072,1,8,12,12,2,0,0.570051353284772,1.4906649194733252,1.596289028779424,0.43565864303881086,0.5570160778976776,3.53713298791019,0.1441536843776703,0.30192614403140716
1024x3072,1,16,12,12,4,1,0.5717323783986977,1.4578546583715815,1.5790450648961776,0.418046696923038,2.156707559689748,3.7440585009140768,0.14962726831436157,0.2993497730339836
1024x3072,8,8,12,12,1,10,0.38355151887105976,0.6822018721043916,1.0574661766242215,1.429497482568462,1.9262454636250352,3.53713298791019,0.1444857269525528,0.3004539320328794
1024x3072,8,16,12,12,3,8,0.45358094972087876,1.381723343277468,1.9265173325095513,1.39131838285552,1.653059152990372,3.7440585009140768,0.1490805447101593,0.2999631947000368
1024x3072,16,8,12,12,0,11,0.32149169660989896,0.4957302418863705,0.5102185185974564,2.361478008596281,3.29985765782317,3.53713298791019,0.14405077695846558,0.2997178260336155
1024x3072,16,16,12,12,1,12,0.417997131254353,0.513299320003592,1.915365061676467,2.752477573586283,3.3441241341157255,3.7440585009140768,0.14919528365135193,0.2994724573671942
2048x1024,1,8,12,12,1,2,0.350555580257771,0.672706578243564,2.0266448690737837,0.4801985676707017,2.1970709772907844,3.500854700854701,0.13124531507492065,0.3014354066985646
2048x1024,1,16,12,12,4,2,0.44456813097834097,2.072993631794826,2.0926600508155424,0.4896928151335122,2.295849168792468,3.7034358047016274,0.13626262545585632,0.2980002453686664
2048x1024,8,8,12,12,1,8,0.34232636485742607,0.57945891976125,1.6292524432412654,1.2172297707191941,1.8676254006807091,3.500854700854701,0.13365128636360168,0.29849098270150903
2048x1024,8,16,12,12,0,10,0.3669464678047142,0.4869180024590427,0.498521887323275,1.4673935676856242,2.194574353905057,3.7034358047016274,0.13818664848804474,0.29849098270150903
2048x1024,16,8,12,12,0,11,0.3484586335065747,0.8537563151139422,0.974406973212516,3.1411497684039715,3.5218967572208366,3.500854700854701,0.13273756206035614,0.2981229297018771
2048x1024,16,16,12,12,0,11,0.38784619986028046,0.6211143044693671,0.7021355718674721,3.2010706698244844,3.9981837731264687,3.7034358047016274,0.13734383881092072,0.2975095080358238
3072x1024,1,8,12,12,3,2,0.6356754298681505,1.6422422487610437,1.8580674787381655,0.5060026407210974,1.9535798211725044,3.500854700854701,0.13166147470474243,0.3016807753649859
3072x1024,1,16,12,12,0,0,0.5052627091759192,0.6737251356488188,0.8706243379094671,0.47860525609115745,0.5062465117031407,3.7034358047016274,0.13577431440353394,0.2993497730339836
3072x1024,8,8,12,12,0,10,0.3610797916945644,0.7287956253738092,0.781701589824358,2.2585422886951214,2.659060185005037,3.500854700854701,0.13311484456062317,0.29984051036682613
3072x1024,8,16,12,12,1,12,0.34114275766715374,0.5499950779714277,1.0009464419887828,2.072435590821705,2.574223032824653,3.7034358047016274,0.13764163851737976,0.2994724573671942
3072x1024,16,8,12,12,3,12,0.4550132244184806,1.8743602292091874,2.1047709112422934,4.644380538010859,5.451593656593071,3.500854700854701,0.13331694900989532,0.2993497730339836
3072x1024,16,16,12,12,2,12,0.4467970589077037,1.1176175330975067,1.6089603664960435,4.137738719516722,5.750726955022881,3.7034358047016274,0.13788168132305145,0.2999631947000368
