name,memory,budget_used,avg_bits,protected_ratio,expected_unprotected_delta_nll,bit_hist
loss_sensitive_budget,1275068416.000000,0.993464,4.470588,0.629848,0.025405,{"4":27,"8":5}
random_budget,1275068416.000000,0.993464,4.470588,0.458537,0.037162,{"4":27,"8":5}
random_budget_seed_20260605,1275068416.000000,0.993464,4.470588,0.489412,0.035043,{"4":24,"8":8}
random_budget_seed_20260606,1275068416.000000,0.993464,4.470588,0.288003,0.048867,{"4":27,"8":5}
random_budget_seed_20260607,1275068416.000000,0.993464,4.470588,0.434617,0.038804,{"4":27,"8":5}
random_budget_seed_20260608,1275068416.000000,0.993464,4.470588,0.122146,0.060250,{"4":30,"8":2}
random_budget_seed_20260609,1275068416.000000,0.993464,4.470588,0.454654,0.037429,{"4":27,"8":5}
random_budget_seed_20260610,1275068416.000000,0.993464,4.470588,0.610885,0.026706,{"4":27,"8":5}
random_budget_seed_20260611,1275068416.000000,0.993464,4.470588,0.225309,0.053169,{"4":27,"8":5}
random_budget_seed_20260612,1275068416.000000,0.993464,4.470588,0.435480,0.038745,{"4":27,"8":5}
random_budget_seed_20260613,1275068416.000000,0.993464,4.470588,0.159473,0.057688,{"4":27,"8":5}
random_budget_seed_20260614,1275068416.000000,0.993464,4.470588,0.527923,0.032400,{"4":27,"8":5}
random_budget_seed_20260615,1275068416.000000,0.993464,4.470588,0.420125,0.039799,{"4":27,"8":5}
random_budget_seed_20260616,1275068416.000000,0.993464,4.470588,0.501316,0.034226,{"4":27,"8":5}
random_budget_seed_20260617,1275068416.000000,0.993464,4.470588,0.469817,0.036388,{"4":27,"8":5}
random_budget_seed_20260618,1275068416.000000,0.993464,4.470588,0.133427,0.059476,{"4":30,"8":2}
random_budget_seed_20260619,1275068416.000000,0.993464,4.470588,0.464577,0.036748,{"4":27,"8":5}
category_budget,1275068416.000000,0.993464,4.470588,0.490008,0.035002,{"4":24,"8":8}
hybrid_budget,1275068416.000000,0.993464,4.470588,0.501576,0.034208,{"4":24,"8":8}
blend_sensitivity_05,1275068416.000000,0.993464,4.470588,0.501576,0.034208,{"4":24,"8":8}
blend_sensitivity_15,1275068416.000000,0.993464,4.470588,0.501576,0.034208,{"4":24,"8":8}
blend_sensitivity_25,1275068416.000000,0.993464,4.470588,0.501576,0.034208,{"4":24,"8":8}
blend_sensitivity_35,1275068416.000000,0.993464,4.470588,0.501576,0.034208,{"4":24,"8":8}
blend_sensitivity_45,1275068416.000000,0.993464,4.470588,0.501576,0.034208,{"4":24,"8":8}
blend_sensitivity_55,1275068416.000000,0.993464,4.470588,0.501576,0.034208,{"4":24,"8":8}
blend_sensitivity_65,1275068416.000000,0.993464,4.470588,0.501576,0.034208,{"4":24,"8":8}
blend_sensitivity_75,1275068416.000000,0.993464,4.470588,0.501576,0.034208,{"4":24,"8":8}
blend_sensitivity_85,1275068416.000000,0.993464,4.470588,0.501576,0.034208,{"4":24,"8":8}
blend_sensitivity_95,1275068416.000000,0.993464,4.470588,0.626645,0.025625,{"4":27,"8":5}
