name,memory,budget_used,avg_bits,protected_ratio,expected_unprotected_delta_nll,bit_hist
loss_sensitive_budget,7700742144.000000,1.000000,4.500000,0.717922,0.194722,{"4":156,"8":13}
random_budget,7700742144.000000,1.000000,4.500000,0.328759,0.463366,{"4":150,"8":19}
random_budget_seed_20260605,7700742144.000000,1.000000,4.500000,0.363926,0.439090,{"4":145,"8":24}
random_budget_seed_20260606,7700742144.000000,1.000000,4.500000,0.094844,0.624840,{"4":148,"8":21}
random_budget_seed_20260607,7700742144.000000,1.000000,4.500000,0.325037,0.465935,{"4":148,"8":21}
random_budget_seed_20260608,7700742144.000000,1.000000,4.500000,0.322308,0.467819,{"4":151,"8":18}
random_budget_seed_20260609,7700742144.000000,1.000000,4.500000,0.132975,0.598517,{"4":145,"8":24}
random_budget_seed_20260610,7700742144.000000,1.000000,4.500000,0.087407,0.629974,{"4":148,"8":21}
random_budget_seed_20260611,7700742144.000000,1.000000,4.500000,0.147774,0.588302,{"4":145,"8":24}
random_budget_seed_20260612,7700742144.000000,1.000000,4.500000,0.139203,0.594218,{"4":148,"8":21}
random_budget_seed_20260613,7700742144.000000,1.000000,4.500000,0.107287,0.616251,{"4":148,"8":21}
random_budget_seed_20260614,7700742144.000000,1.000000,4.500000,0.126486,0.602997,{"4":148,"8":21}
random_budget_seed_20260615,7700742144.000000,1.000000,4.500000,0.119029,0.608145,{"4":148,"8":21}
random_budget_seed_20260616,7700742144.000000,1.000000,4.500000,0.388218,0.422320,{"4":151,"8":18}
random_budget_seed_20260617,7700742144.000000,1.000000,4.500000,0.379637,0.428244,{"4":145,"8":24}
random_budget_seed_20260618,7700742144.000000,1.000000,4.500000,0.063138,0.646727,{"4":145,"8":24}
random_budget_seed_20260619,7700742144.000000,1.000000,4.500000,0.146769,0.588996,{"4":148,"8":21}
category_budget,7700742144.000000,1.000000,4.500000,0.165003,0.576409,{"4":118,"8":51}
hybrid_budget,7700742144.000000,1.000000,4.500000,0.474556,0.362720,{"4":124,"8":45}
blend_sensitivity_05,7700742144.000000,1.000000,4.500000,0.177647,0.567680,{"4":118,"8":51}
blend_sensitivity_15,7700742144.000000,1.000000,4.500000,0.434510,0.390365,{"4":121,"8":48}
blend_sensitivity_25,7700742144.000000,1.000000,4.500000,0.434510,0.390365,{"4":121,"8":48}
blend_sensitivity_35,7700742144.000000,1.000000,4.500000,0.434545,0.390341,{"4":121,"8":48}
blend_sensitivity_45,7700742144.000000,1.000000,4.500000,0.434545,0.390341,{"4":121,"8":48}
blend_sensitivity_55,7700742144.000000,1.000000,4.500000,0.474556,0.362720,{"4":124,"8":45}
blend_sensitivity_65,7700742144.000000,1.000000,4.500000,0.474556,0.362720,{"4":124,"8":45}
blend_sensitivity_75,7700742144.000000,1.000000,4.500000,0.498584,0.346134,{"4":127,"8":42}
blend_sensitivity_85,7700742144.000000,1.000000,4.500000,0.536047,0.320272,{"4":133,"8":36}
blend_sensitivity_95,7700742144.000000,1.000000,4.500000,0.708757,0.201049,{"4":153,"8":16}
